path,cluster,bg_frac,p1,p50,p99,grad_mean,grad_tail,var_med,var_iqr,spec_slope
002722.npy,1,0.002335,0.062745,0.345098,0.929412,0.089751,4.095336,0.016205,0.024976,-1.069333
002723.npy,1,0.002151,0.066667,0.349020,0.937255,0.092673,4.025802,0.017191,0.024285,-1.042937
002724.npy,0,0.000427,0.172549,0.415686,0.870588,0.042243,4.009266,0.004288,0.006529,-1.576024
002725.npy,0,0.020660,0.035294,0.188235,0.576471,0.023746,4.793497,0.001151,0.002364,-1.570089
002726.npy,0,0.030930,0.031373,0.164706,0.525490,0.019830,4.821556,0.000693,0.001755,-1.577103
002727.npy,0,0.034073,0.027451,0.160784,0.529412,0.019924,4.799089,0.000762,0.001761,-1.579295
002728.npy,1,0.001114,0.098039,0.533333,0.952941,0.105341,3.226616,0.013237,0.015037,-0.935333
002729.npy,0,0.000320,0.305882,0.886275,0.976471,0.009409,8.949944,0.000056,0.000045,-1.472310
002730.npy,0,0.000320,0.243137,0.882353,0.968627,0.009939,9.765024,0.000052,0.000042,-1.505859
002731.npy,0,0.000183,0.258824,0.843137,0.917647,0.012582,8.854401,0.000047,0.000053,-1.568067
002732.npy,0,0.066299,0.023529,0.360784,0.831373,0.054662,4.601672,0.007932,0.015684,-1.591743
002733.npy,0,0.014648,0.039216,0.737255,0.866667,0.029994,7.997037,0.000842,0.003206,-1.710577
002734.npy,0,0.011185,0.043137,0.827451,0.945098,0.028871,8.464272,0.000836,0.002344,-1.660440
002735.npy,0,0.014404,0.039216,0.737255,0.866667,0.029588,8.075191,0.000821,0.003225,-1.699435
002736.npy,0,0.070740,0.015686,0.313726,0.976471,0.037962,6.430960,0.003196,0.009937,-1.580470
002737.npy,0,0.011948,0.039216,0.403922,0.811765,0.038234,5.583280,0.003190,0.007980,-1.570599
002738.npy,0,0.011627,0.039216,0.427451,0.913725,0.041726,5.357919,0.003467,0.008701,-1.563831
002739.npy,0,0.016998,0.031373,0.415686,0.905882,0.040792,5.355238,0.003407,0.008182,-1.566489
002740.npy,0,0.025681,0.027451,0.568627,0.992157,0.022343,7.667018,0.000748,0.001949,-1.714575
002741.npy,1,0.000427,0.160784,0.541176,0.925490,0.101707,3.352109,0.015066,0.013666,-0.951305
002742.npy,1,0.000504,0.149020,0.505882,0.921569,0.091143,3.566236,0.013168,0.013821,-1.035454
002743.npy,1,0.000412,0.164706,0.545098,0.925490,0.101654,3.358021,0.015501,0.013977,-0.945466
002744.npy,1,0.004868,0.086275,0.725490,0.988235,0.120038,3.433215,0.025032,0.030126,-1.023935
002745.npy,0,0.006882,0.054902,0.294118,0.701961,0.026763,3.253441,0.001565,0.001981,-1.269240
002746.npy,0,0.003693,0.074510,0.298039,0.684902,0.027028,3.211744,0.001601,0.001736,-1.266112
002747.npy,0,0.006424,0.054902,0.282353,0.658824,0.025282,3.261992,0.001411,0.001693,-1.278448
002748.npy,0,0.075897,0.015686,0.196078,0.823529,0.026214,4.315542,0.001439,0.003458,-1.582223
002749.npy,0,0.107056,0.007843,0.125490,0.368627,0.059243,3.092095,0.004799,0.002801,-0.669086
002750.npy,0,0.099747,0.007843,0.129412,0.368627,0.058971,3.025214,0.004794,0.002864,-0.669148
002751.npy,0,0.106125,0.007843,0.125490,0.368627,0.059140,3.080546,0.004803,0.002800,-0.668696
002752.npy,0,0.054825,0.011765,0.188235,0.898039,0.032959,7.662621,0.001639,0.005390,-1.553545
002753.npy,0,0.001343,0.082353,0.215686,0.647059,0.016802,7.421926,0.000417,0.000735,-1.615907
002754.npy,0,0.004959,0.066667,0.211765,0.956863,0.013246,7.727029,0.000373,0.000597,-1.688512
002755.npy,0,0.004684,0.066667,0.211765,0.956863,0.013239,7.763692,0.000360,0.000530,-1.695417
002756.npy,0,0.000153,0.192157,0.368627,0.431373,0.015092,3.546153,0.000232,0.000095,-0.995625
002757.npy,0,0.000031,0.270588,0.517647,0.792157,0.065757,2.593313,0.005289,0.001980,-0.665055
002758.npy,0,0.000015,0.329412,0.549020,0.788235,0.065499,2.621092,0.005118,0.002009,-0.613235
002759.npy,0,0.000031,0.235294,0.470588,0.737255,0.064501,2.583936,0.005110,0.001881,-0.657231
002760.npy,0,0.000961,0.105882,0.898039,0.933333,0.013709,10.314231,0.000051,0.000080,-1.401388
002761.npy,0,0.000214,0.254902,0.909804,0.952941,0.016377,21.168709,0.000041,0.000047,-1.211703
002762.npy,0,0.001297,0.505882,0.913725,0.968627,0.013528,16.935114,0.000046,0.000090,-1.204239
002763.npy,0,0.000229,0.258824,0.886275,0.968627,0.015057,15.651200,0.000059,0.000105,-1.351967
002764.npy,0,0.029419,0.035294,0.384314,0.627451,0.038920,4.910321,0.002818,0.004941,-1.381192
002765.npy,0,0.002411,0.070588,0.372549,0.772549,0.014094,2.565318,0.000263,0.000084,-1.162024
002766.npy,0,0.001907,0.070588,0.368627,0.760784,0.014089,2.566238,0.000261,0.000091,-1.155386
002767.npy,0,0.003677,0.070588,0.384314,0.811765,0.013785,2.717441,0.000246,0.000088,-1.191296
002768.npy,0,0.059006,0.031373,0.380392,0.894118,0.016347,15.574262,0.000033,0.000172,-1.301161
002769.npy,0,0.000504,0.231373,0.541176,0.701961,0.050167,3.642999,0.002663,0.002431,-0.880002
002770.npy,0,0.000504,0.188235,0.450980,0.592157,0.043928,3.610842,0.001993,0.002410,-0.886753
002771.npy,0,0.000397,0.231373,0.537255,0.694118,0.049320,3.650224,0.002560,0.002320,-0.876480
002772.npy,0,0.000031,0.196078,0.239216,0.709804,0.014965,18.945858,0.000044,0.000069,-0.968258
002773.npy,0,0.016785,0.035294,0.450980,0.905882,0.038832,4.314229,0.003506,0.006551,-1.481781
002774.npy,0,0.035599,0.023529,0.458824,0.894118,0.034805,4.132390,0.003012,0.005540,-1.552764
002775.npy,0,0.025269,0.031373,0.411765,0.901961,0.041821,4.578439,0.003612,0.007376,-1.430107
002776.npy,1,0.000610,0.070588,0.223529,0.945098,0.080278,4.765960,0.012051,0.038020,-1.047685
002777.npy,0,0.036972,0.043137,0.133333,0.772549,0.056537,5.113579,0.009484,0.016043,-1.096748
002778.npy,1,0.012360,0.047059,0.149020,0.784314,0.062438,5.021821,0.011239,0.018782,-1.084723
002779.npy,1,0.010788,0.047059,0.172549,0.796078,0.066611,4.790226,0.012273,0.017115,-1.105757
002780.npy,0,0.005188,0.058824,0.627451,0.917647,0.040537,4.035836,0.002301,0.002322,-1.316091
002781.npy,1,0.001434,0.074510,0.290196,0.835294,0.076644,3.341048,0.009708,0.023516,-1.233614
002782.npy,1,0.001328,0.074510,0.290196,0.835294,0.076552,3.339054,0.009694,0.023455,-1.233655
002783.npy,1,0.001007,0.078431,0.290196,0.843137,0.076179,3.334111,0.010057,0.022548,-1.266064
002784.npy,0,0.128418,0.000000,0.317647,0.854902,0.031581,4.964452,0.002109,0.004966,-1.319502
002785.npy,0,0.000320,0.129412,0.368627,0.654902,0.060465,2.821481,0.006426,0.004990,-1.233398
002786.npy,0,0.000351,0.125490,0.368627,0.670588,0.061177,2.810991,0.006674,0.004832,-1.241178
002787.npy,0,0.000504,0.117647,0.349020,0.650980,0.056453,2.842527,0.005744,0.004414,-1.277005
002788.npy,0,0.001343,0.113725,0.745098,0.831373,0.026400,5.173226,0.000875,0.000785,-1.459035
002789.npy,0,0.000336,0.211765,0.505882,0.756863,0.064151,2.551385,0.005679,0.002650,-0.844196
002790.npy,0,0.000122,0.211765,0.494118,0.756863,0.066884,2.553704,0.006106,0.002685,-0.835968
002791.npy,0,0.000244,0.243137,0.552941,0.811765,0.069133,2.529830,0.006557,0.003079,-0.872381
002792.npy,0,0.000565,0.243137,0.807843,0.972549,0.018150,7.372387,0.000334,0.001153,-1.669790
002793.npy,0,0.188538,0.003922,0.313726,0.643137,0.017412,3.424931,0.000713,0.001478,-1.556910
002794.npy,0,0.234299,0.000000,0.294118,0.627451,0.016927,3.592079,0.000673,0.001532,-1.555994
002795.npy,0,0.156418,0.003922,0.321569,0.623529,0.017531,3.364671,0.000723,0.001464,-1.538854
002796.npy,0,0.001175,0.137255,0.858824,0.929412,0.028756,8.093883,0.000051,0.005693,-1.192300
002797.npy,0,0.000885,0.082353,0.607843,0.898039,0.029461,2.501457,0.001143,0.000402,-0.956547
002798.npy,0,0.001190,0.078431,0.600000,0.901961,0.029713,2.508552,0.001166,0.000411,-0.962557
002799.npy,0,0.000366,0.121569,0.635294,0.882353,0.030575,2.501117,0.001245,0.000424,-0.936547
002800.npy,0,0.000015,0.239216,0.772549,0.956863,0.051241,6.125146,0.005338,0.016455,-0.999042
002801.npy,0,0.033493,0.031373,0.737255,0.952941,0.032349,4.988338,0.000898,0.002182,-1.104920
002802.npy,0,0.032471,0.035294,0.737255,0.952941,0.032933,4.954216,0.000941,0.002278,-1.104482
002803.npy,0,0.033646,0.031373,0.729412,0.945098,0.036882,4.753524,0.001292,0.003419,-1.071276
002804.npy,0,0.032669,0.023529,0.313726,0.815686,0.041010,4.767484,0.002800,0.004745,-1.297082
002805.npy,0,0.000214,0.113725,0.364706,0.815686,0.037843,2.422548,0.001851,0.000540,-0.860719
002806.npy,0,0.000137,0.145098,0.466667,0.843137,0.049124,2.423610,0.003097,0.000859,-0.785001
002807.npy,0,0.000153,0.121569,0.392157,0.819608,0.041057,2.447320,0.002189,0.000626,-0.845399
002808.npy,0,0.021271,0.035294,0.317647,0.760784,0.048457,5.746363,0.004344,0.011765,-1.211113
002809.npy,0,0.014893,0.039216,0.133333,0.407843,0.027278,4.880504,0.000578,0.000735,-0.964096
002810.npy,0,0.061447,0.011765,0.121569,0.419608,0.027525,5.044462,0.000559,0.001036,-0.987502
002811.npy,0,0.033951,0.023529,0.121569,0.411765,0.028144,4.947105,0.000575,0.001141,-0.985711
002812.npy,0,0.020584,0.031373,0.439216,0.980392,0.031040,6.310965,0.001637,0.007905,-1.780089
002813.npy,0,0.043839,0.027451,0.466667,0.992157,0.032006,6.687861,0.001698,0.009919,-1.689426
002814.npy,0,0.061691,0.023529,0.509804,0.996078,0.032819,6.218126,0.002414,0.009830,-1.680680
002815.npy,0,0.062805,0.023529,0.337255,0.996078,0.036717,5.928452,0.002929,0.012887,-1.651540
002816.npy,0,0.008545,0.050980,0.235294,0.943725,0.030131,6.216132,0.001288,0.004070,-1.476894
002817.npy,0,0.005722,0.056275,0.200000,0.623529,0.025578,4.602042,0.000776,0.001395,-1.297851
002818.npy,0,0.000565,0.105882,0.356863,0.752941,0.042680,4.137857,0.002213,0.003050,-1.202406
002819.npy,0,0.005890,0.054902,0.200000,0.623529,0.026385,4.679457,0.000835,0.001756,-1.318678
002820.npy,0,0.003754,0.070588,0.450980,0.894118,0.067768,3.953612,0.008770,0.012497,-1.151554
002821.npy,0,0.003769,0.062745,0.243137,0.705882,0.047962,4.414101,0.002933,0.005627,-1.086331
002822.npy,0,0.004364,0.058824,0.243137,0.705882,0.048064,4.423449,0.002937,0.005652,-1.086557
002823.npy,0,0.003387,0.064118,0.258824,0.729412,0.050429,4.549327,0.003229,0.006741,-1.105898
002824.npy,0,0.010742,0.047059,0.411765,0.976471,0.048955,5.860339,0.004244,0.018098,-1.415193
002825.npy,0,0.000015,0.298039,0.639216,0.878431,0.054718,4.264913,0.004750,0.007367,-1.005237
002826.npy,0,0.000015,0.290196,0.650980,0.882353,0.057185,4.017718,0.004992,0.006530,-1.014310
002827.npy,0,0.000198,0.258824,0.576471,0.866667,0.053210,4.776819,0.004755,0.010160,-1.008611
002828.npy,0,0.011597,0.043137,0.278431,0.596078,0.010910,12.684098,0.000024,0.000201,-1.675279
